Project,N_classes,N_godclass,Prevalence,Precision,Recall,F1,MCC
QingScan,25,3,0.12,1.0,1.0,1.0,1.0
Speedtest-Tracker,24,1,0.0417,1.0,1.0,1.0,1.0
TeamPass,14,6,0.4286,1.0,1.0,1.0,1.0
Sylius,497,28,0.0563,1.0,1.0,1.0,1.0
Valinor,89,8,0.0899,1.0,1.0,1.0,1.0
WeChatDeveloper,20,2,0.1,1.0,1.0,1.0,1.0
sculpin,22,3,0.1364,1.0,1.0,1.0,1.0
mantisbt,22,3,0.1364,1.0,1.0,1.0,1.0
migrations,41,3,0.0732,1.0,1.0,1.0,1.0
mix,54,4,0.0741,1.0,1.0,1.0,1.0
mongo-php-library,100,1,0.01,1.0,1.0,1.0,1.0
orm,74,10,0.1351,1.0,1.0,1.0,1.0
packagist,42,6,0.1429,1.0,1.0,1.0,1.0
panel,189,12,0.0635,1.0,1.0,1.0,1.0
passport,21,1,0.0476,1.0,1.0,1.0,1.0
pheanstalk,17,3,0.1765,1.0,1.0,1.0,1.0
phpactor,227,28,0.1233,1.0,1.0,1.0,1.0
phpbench,74,7,0.0946,1.0,1.0,1.0,1.0
phpdaemon,69,8,0.1159,1.0,1.0,1.0,1.0
pie,28,2,0.0714,1.0,1.0,1.0,1.0
pimcore,268,33,0.1231,1.0,1.0,1.0,1.0
plugins,64,7,0.1094,1.0,1.0,1.0,1.0
xunsearch,10,1,0.1,1.0,1.0,1.0,1.0
sentry,11,1,0.0909,1.0,1.0,1.0,1.0
sentry-php,22,1,0.0455,1.0,1.0,1.0,1.0
simplepie,11,2,0.1818,1.0,1.0,1.0,1.0
static-php-cli,93,6,0.0645,1.0,1.0,1.0,1.0
snipe-it,220,15,0.0682,1.0,1.0,1.0,1.0
unmark,32,5,0.1562,1.0,1.0,1.0,1.0
tempest-framework,227,15,0.0661,1.0,1.0,1.0,1.0
wallabag,54,4,0.0741,1.0,1.0,1.0,1.0
yii2,102,20,0.1961,1.0,1.0,1.0,1.0
vmqphp,62,18,0.2903,1.0,1.0,1.0,1.0
symfony,691,85,0.123,0.9884,1.0,0.9942,0.9933
server,645,80,0.124,0.9877,1.0,0.9938,0.9929
twilio-php,769,60,0.078,1.0,0.9833,0.9916,0.9909
silverstripe-framework,97,19,0.1959,0.95,1.0,0.9744,0.9684
Payum,65,4,0.0615,0.8,1.0,0.8889,0.8871
